id,D10M44,D1M3,D1M75,D1M215,D1M309,D1M218,D1M451,D1M504,D1M113,D1M355,D1M291,D1M209,D1M155,D2M365,D2M37,D2M396,D2M493,D2M226,D2M148,D3M265,D3M51,D3M106,D3M257,D3M147,D3M19,D4M2,D4M178,D4M187,D4M251,D5M148,D5M232,D5M257,D5M83,D5M307,D5M357,D5M205,D5M398,D5M91,D5M338,D5M188,D5M29,D5M168,D6M223,D6M188,D6M284,D6M39,D6M254,D6M194,D6M290,D6M25,D6M339,D6M59_,D6M201,D6M15,D6M294,D7M246,D7M145,D7M62,D7M126,D7M105,D7M259,D8M94,D8M339,D8M178,D8M242,D8M213,D8M156,D9M247,D9M328,D9M106,D9M269,D9M346,D9M55,D9M18,D10M298,D10M294,D10M42_,D10M10,D10M233,D11M78,D11M20,D11M242,D11M356,D11M327,D11M333,D12M105,D12M46,D12M34,D12M5,D12M99,D12M150,D13M59,D13M88,D13M21,D13M39,D13M167,D13M99,D13M233,D13M106,D13M147,D13M226,D13M290,D13M151,D14M14,D14M115,D14M265,D14M266,D15M226,D15M100,D15M209,D15M144,D15M68,D15M239,D15M241,D15M34,D16M154,D16M4,D16M139,D16M86,D17M260,D17M66,D17M88,D17M129,D18M94,D18M58,D18M106,D18M186,D19M68,D19M117,D19M65,D19M10,DXM186,DXM64
35,B,B,B,B,B,B,B,B,B,B,B,H,-,H,H,H,H,A,H,H,A,H,H,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,B,B,-,B,B,B,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,A,A,B,B,H,A,H,H,A,A,A,A,A,A,A,A,A,-,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,B,B,B,B,B,B,-,B,H,A,A,C,A,H
36,H,H,B,B,B,B,B,B,B,B,B,H,-,A,H,H,B,B,B,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,B,B,B,B,-,B,B,H,H,H,H,B,H,H,H,H,H,H,A,H,H,H,H,A,A,A,A,H,H,-,H,H,H,A,A,A,A
37,H,H,H,H,H,H,H,A,A,A,A,A,-,B,H,H,A,A,A,H,H,H,A,-,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,-,B,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,A,A,H,H,B,B,B,B,B,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,A,A,-,A,A,A,A,A,A,-,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,H,B,B,H,H,H,H,H,H,-,A,H,H,H,A,A,H
38,B,B,B,B,B,B,H,H,H,H,H,H,-,A,B,B,-,B,B,A,A,A,A,-,H,H,H,H,B,A,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,B,B,A,A,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,B,B,-,B,H,H,H,C,A,A
39,B,B,H,H,A,A,A,A,A,A,A,A,-,H,H,B,B,B,H,H,H,H,H,-,A,H,H,H,H,A,A,B,B,B,B,B,B,B,B,B,B,B,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,A,H,H,H,B,A,A,A,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,-,A,A,A,A,A,H,-,B,B,B,B,B,B,H,H,H,H,H,B,B,B,B,H,-,-,H,A,A,B,C,H,H
40,H,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,H,H,A,-,H,H,H,H,H,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,A,A,A,A,A,H,B,B,A,A,A,A,A,A,H,H,H,B,B,B,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,A,A,H,H,H,B,A,A,A,A,A,A,A,A,A,-,A,A,H,A,A,A,-,B,B,B,B,B,B,B,A,A,A,A,H,H,H,H,A,A,-,A,H,A,A,A,A,H
41,B,B,B,B,B,B,H,H,H,H,H,-,H,H,A,A,A,-,A,A,H,H,H,H,H,H,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,A,A,H,A,A,A,A,H,H,B,H,A,A,A,A,H,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,H,H,-,H,H,H,H,H,H,-,H,H,-,A,A,A,H,A,A,A,A,A,A,-,H,B,-,H,C,A,H
42,A,A,A,A,A,A,A,A,A,A,H,H,H,A,A,H,H,H,H,A,A,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,H,A,A,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,A,A,A,A,A,B,B,-,-,H,H,H,H,H,-,H,H,A,A,A,B,H,-,A,A,A,A,A,A,H,H,H,H,B,B,B,B,B,B,-,B,B,-,B,C,A,A
43,B,B,B,A,A,A,H,H,A,A,A,A,A,-,H,H,-,B,B,B,H,A,A,A,A,H,-,A,H,A,A,H,H,H,H,H,H,H,H,H,-,B,H,H,H,H,H,H,-,-,H,H,H,H,H,A,A,A,A,A,-,H,H,H,H,H,-,H,H,B,-,B,A,A,H,H,A,A,A,B,B,B,B,B,B,B,B,H,H,H,-,H,H,B,B,B,B,B,B,B,B,B,B,H,-,B,B,H,-,H,H,H,H,H,B,B,B,B,H,H,H,H,H,B,B,-,B,B,B,B,C,A,H
44,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,H,A,A,A,A,H,H,A,H,B,H,H,H,H,H,A,A,A,A,A,A,A,A,B,B,B,B,H,H,A,A,A,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,H,H,H,H,H,B,B,B,B,H,-,B,B,H,H,H,H,-,H,H,H,H,H,H,H,H,B,H,A,H,H,A,-,A,A,H,H,H,B,B,B,B,B,H,H,H,-,A,A,-,H,A,A,A,A,H,H
45,A,A,A,H,H,B,B,B,B,B,B,-,B,A,A,-,-,A,A,A,A,A,H,H,B,H,H,H,H,B,B,H,H,H,H,H,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,-,B,B,B,B,H,-,H,H,H,A,A,A,A,H,A,A,A,H,H,H,H,H,H,A,A,A,H,A,A,A,H,H,-,H,H,H,H,H,H,H,H,H,H,-,B,B,A,-,A,A,A,A,H,H,A,A,A,A,A,H,-,H,A,-,-,A,A,A,H,C,H,H
46,H,H,A,A,A,A,H,H,H,H,H,H,H,A,H,A,-,B,B,H,H,H,H,H,H,H,-,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,B,-,H,H,H,H,H,-,B,B,B,-,B,H,H,A,A,H,H,B,H,A,A,A,A,H,B,B,H,H,H,H,H,H,-,A,A,A,A,H,H,-,H,H,-,-,H,H,A,-,A,A,A,A,A,-,A,A,A,H,H,A,A,A,B,B,-,B,H,A,A,A,A,A
47,H,H,H,B,B,B,B,B,B,B,B,-,B,H,A,B,-,A,H,A,H,H,B,B,B,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,-,A,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,B,B,B,A,A,A,B,B,B,-,B,B,B,H,H,H,H,H,H,A,A,A,A,H,H,H,H,B,H,-,H,H,H,H,H,H,H,H,B,H,H,H,B,-,A,H,B,-,H,H,-,H,H,H,B,B,B,B,H,H,-,H,B,B,-,B,H,H,H,C,A,-
48,H,H,A,A,A,A,A,A,A,A,H,H,H,H,H,H,-,B,B,H,H,A,A,A,A,A,H,H,H,-,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,H,H,H,A,A,A,B,B,B,B,B,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,H,-,A,A,H,-,H,H,B,B,-,B,H,H,H,H,A,A,A,H,B,B,-,H,H,H,-,C,H,-
49,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,-,H,H,H,A,A,A,A,A,H,H,H,A,B,B,B,B,B,B,-,-,B,B,B,B,B,H,H,H,H,B,H,-,H,H,H,H,H,H,A,-,A,-,A,A,B,B,B,B,H,-,A,A,H,H,-,H,H,A,A,-,A,A,A,A,A,H,H,H,A,A,A,A,A,A,C,A,H,H,H,B,B,B,B,B,B,B,A,H,H,H,H,H,H,H,H,H,A,A,H,B,B,B,A,A,A,A,H,H,A,A,H,A,A,A,A,H
50,-,H,H,A,A,A,A,A,A,A,A,H,H,A,H,H,-,A,A,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,-,-,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,B,B,B,-,B,B,B,B,B,B,H,H,A,A,-,A,A,B,B,H,A,A,A,A,A,B,B,B,A,A,A,A,A,A,C,B,B,B,B,B,B,B,B,B,B,B,H,H,A,A,H,H,H,H,H,H,A,A,A,A,A,A,B,B,B,H,H,H,H,H,B,B,H,C,A,A
51,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,-,A,H,H,H,H,H,H,B,H,-,B,B,B,B,B,B,B,B,B,B,B,B,B,-,H,H,H,H,H,H,H,-,B,B,B,B,B,B,B,B,B,B,A,A,H,H,H,A,A,A,A,A,A,A,-,H,H,B,B,H,H,A,A,-,A,A,A,H,B,-,H,H,H,B,C,B,B,-,B,B,B,H,H,H,H,H,B,B,B,B,A,A,H,H,H,H,H,B,A,A,H,H,H,H,H,H,H,H,H,H,A,A,H,C,A,A
52,-,B,B,B,B,B,H,H,H,H,H,H,H,A,A,H,-,B,B,A,H,H,H,H,B,B,H,A,A,H,H,H,H,-,H,H,H,H,H,A,A,A,H,H,H,H,H,H,-,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,B,-,B,H,H,H,H,A,H,H,H,H,A,A,H,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,B,B,H,H,H,B,B,B,B,B,B,-,H,H,H,A,H,H,B,B,H,H,B,B,H,H,A,A,H,H
53,A,-,H,A,A,A,A,A,A,A,A,A,A,B,A,A,-,H,H,H,B,B,B,B,B,H,-,B,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,A,A,H,H,-,H,H,H,B,B,B,A,H,H,H,A,A,A,A,H,H,H,-,H,H,H,H,-,B,B,B,B,B,B,H,H,B,B,B,B,B,H,A,A,A,H,H,C,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,A,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,A,A,H,B,A,A,A,A,H,A
54,B,B,B,B,B,B,B,B,B,B,B,B,B,A,H,H,H,H,A,B,H,A,H,H,H,H,H,B,B,-,B,B,B,B,B,B,B,B,B,B,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,A,A,A,A,A,A,H,H,H,H,-,H,H,H,H,H,H,H,A,H,H,B,B,B,A,A,A,A,A,A,C,H,A,A,A,A,-,A,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,C,A,H
55,A,-,H,H,B,B,B,B,B,B,B,B,B,-,B,B,B,B,H,H,H,H,H,H,H,H,H,A,H,H,H,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,-,B,B,B,B,B,B,H,H,H,A,A,A,H,H,A,A,A,-,H,A,A,A,-,H,H,H,H,B,B,B,H,-,A,A,A,A,A,A,A,A,A,A,C,H,H,H,H,H,-,H,H,H,H,A,B,B,B,H,H,H,H,H,H,H,H,B,B,B,H,H,A,A,A,A,H,H,B,H,H,H,A,A,A,A
56,H,H,B,H,H,H,B,B,B,B,B,B,B,A,H,A,-,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,-,B,B,H,H,H,-,A,A,A,A,A,H,H,A,H,-,H,B,H,H,H,H,A,A,H,H,-,H,B,B,C,H,-,H,H,H,A,A,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,A,B,H,H,H,B,B,B,B,H,H,H,C,H,H
57,H,-,H,H,A,A,H,H,B,B,B,B,B,H,A,A,H,B,B,H,H,H,H,A,A,H,H,H,H,A,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,B,H,H,A,A,A,A,H,A,H,H,-,H,H,H,H,B,B,H,H,H,H,H,H,A,A,A,A,H,H,H,C,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,A,A,A,A,H,-,H,H,A,A,A,A,A,A,A,A,B,H,H,C,H,H
58,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,A,A,H,H,H,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,B,B,B,H,H,A,A,-,A,A,H,H,H,H,H,A,H,B,H,H,A,A,A,A,A,A,A,A,A,-,A,A,A,-,A,H,-,H,H,B,H,H,H,H,H,H,H,H,H,H,H,B,H,H,B,B,B,B,H,H,H,H,H,A,A,A,A,A,H
59,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,B,B,B,H,H,A,A,A,A,H,A,A,A,A,A,A,A,H,H,B,B,B,B,B,B,B,H,H,H,H,H,B,B,B,B,H,H,H,H,B,B,H,-,H,H,H,H,H,B,B,B,B,B,B,H,-,A,A,A,H,H,H,H,A,H,H,H,H,H,B,H,H,H,H,-,A,A,A,A,A,A,-,A,A,-,A,H,B,B,H,H,H,H,B,B,B,B,B,B,B,H,H,H,H,B,B,B,B,B,A,A,H,H,H,C,A,A
60,H,H,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,-,H,A,H,B,B,B,B,H,H,B,B,A,A,A,A,A,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,-,H,H,H,H,H,H,H,H,A,A,H,-,-,H,H,A,A,A,A,A,B,B,H,H,H,A,A,A,A,A,A,H,A,A,-,A,A,A,A,A,A,-,A,H,A,B,B,B,B,B,B,B,B,B,B,-,H,H,H,H,H,B,B,B,B,B,H,H,A,H,H,C,A,A
61,B,B,B,B,B,B,B,B,H,H,H,H,H,H,B,H,H,H,H,H,H,B,B,B,B,H,H,H,B,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,B,B,B,B,B,H,H,H,H,-,B,B,H,H,B,B,B,B,B,B,B,B,A,H,H,A,A,A,A,C,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,A,B,H,H,C,A,A
62,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,-,B,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,B,-,A,A,H,-,-,A,A,A,A,A,H,H,B,B,B,B,B,A,B,B,H,H,H,H,A,A,-,H,H,H,-,H,H,H,H,H,A,A,A,A,B,B,B,B,B,B,B,H,H,H,H,A,B,B,H,H,H,H,H,H,A,A,A,A,A,-
63,H,H,H,H,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,H,H,B,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,-,A,A,A,A,A,A,B,B,B,B,H,A,H,H,H,H,H,A,A,A,A,A,-,A,A,B,B,B,H,H,H,H,H,H,H,H,H,A,A,A,A,H,C,B,B,B,B,B,B,B,H,-,H,H,H,H,H,A,-,H,H,H,H,H,H,B,B,B,B,B,H,H,H,A,H,H,H,H,B,A,A,A,H,H
64,H,H,H,H,H,H,A,A,A,A,H,H,H,A,A,A,A,A,A,H,H,A,A,A,A,B,B,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,A,A,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,A,A,H,H,H,B,A,A,A,A,A,A,A,H,H,H,H,H,H,B,B,B,B,B,B,B,H,A,A,A,C,A,-,B,B,B,B,B,B,B,B,B,A,A,A,H,-,B,B,B,B,B,H,-,A,H,H,B,H,H,H,H,H,H,H,H,B,B,B,C,H,H
65,A,A,H,H,H,H,H,H,A,A,A,A,A,-,A,H,H,H,H,A,H,H,H,H,H,B,-,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,-,B,B,B,-,-,H,H,A,A,H,H,B,A,A,A,H,H,H,H,A,H,H,H,B,C,B,B,B,B,B,B,B,B,B,B,B,H,H,A,H,H,-,A,A,A,A,A,A,A,A,A,H,H,H,H,B,B,B,-,B,H,H,A,A,H,H
66,H,H,H,B,B,B,B,B,H,H,H,H,H,B,B,B,B,-,B,A,A,A,B,B,B,H,H,H,B,H,H,H,H,-,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,A,A,A,A,A,A,B,B,B,H,-,H,H,A,H,H,H,H,A,A,-,A,A,A,B,B,B,B,B,B,A,A,-,A,A,A,A,A,A,-,H,H,H,H,H,H,H,-,H,H,B,B,B,B,A,A,H,H,H,H,A,A,H,H,-,H,B,H,H,C,A,A
67,H,H,H,H,H,H,H,H,H,H,-,H,H,B,H,H,-,H,H,B,H,H,H,H,H,B,-,B,B,H,B,B,B,B,B,B,B,B,H,H,-,H,B,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,-,B,-,H,H,H,H,H,-,B,B,B,B,-,B,B,A,A,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,C,H,A,A,A,A,A,A,A,A,A,A,H,H,B,B,H,-,B,B,B,H,H,B,B,H,H,H,A,H,H,H,B,B,B,B,H,A,H,C,A,A
68,H,H,A,A,A,A,H,H,H,B,B,B,B,H,H,H,H,B,B,H,B,B,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,-,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,A,A,A,A,-,H,H,H,B,B,B,B,B,H,H,-,A,A,A,A,H,H,B,B,B,B,H,H,H,H,H,H,H,H,B,A,A,A,A,A,A,A,A,A,A,A,A,H,-,B,B,H,-,H,H,A,A,A,A,H,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,H,H
69,A,A,A,A,A,A,H,H,B,B,B,B,B,H,B,B,-,H,H,B,H,H,B,B,B,A,A,H,B,A,H,A,A,A,A,A,A,A,A,A,-,A,A,A,A,H,B,B,B,B,B,B,B,B,B,H,H,H,-,H,-,B,B,B,H,A,A,H,H,B,B,-,H,H,H,H,H,H,H,B,B,B,B,B,B,H,H,H,B,B,B,C,H,H,H,H,H,H,H,H,-,H,B,H,-,H,H,H,-,H,H,H,H,A,A,B,B,B,B,B,H,H,A,H,H,H,H,A,A,A,C,H,H
70,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,A,A,A,B,-,H,A,A,A,A,H,H,H,B,B,-,H,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,H,-,H,-,H,H,H,H,H,-,H,H,H,H,-,H,H,H,B,B,B,B,A,H,H,H,H,H,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,-,A,A,A,-,H,H,B,-,B,B,B,B,-,-,H,H,H,H,H,H,H,H,A,A,A,A,H,H,B,C,H,A
71,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,B,-,H,H,H,B,B,B,H,H,B,H,H,H,A,H,A,A,A,A,A,A,A,A,H,-,H,B,B,B,B,B,B,B,B,B,B,B,B,B,A,-,B,-,B,H,B,B,B,B,B,B,H,H,H,H,-,B,B,H,H,H,A,H,B,H,A,A,A,A,B,B,-,B,B,B,C,H,A,A,A,A,A,A,A,A,A,A,B,B,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,C,H,A
72,B,B,B,B,B,B,H,H,A,A,A,A,A,H,A,A,A,A,A,H,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,B,B,B,B,B,H,H,H,H,B,H,H,-,A,A,A,A,A,-,A,H,H,B,B,B,B,H,H,H,A,A,A,C,B,B,B,B,B,H,H,H,H,H,H,B,B,B,H,A,H,-,H,H,H,-,-,A,H,H,H,H,B,B,B,A,A,H,H,H,H,H,C,H,H
73,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,-,H,H,H,A,A,A,A,H,A,B,B,H,H,B,B,B,B,B,B,-,B,B,B,B,B,H,H,H,H,H,H,-,H,H,B,B,B,B,H,H,H,H,B,B,H,H,H,H,H,-,A,A,H,-,H,H,H,H,H,B,H,H,H,H,H,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,-,H,H,A,A,H,H,A,A,A,A,A,H,B,-,H,H,H,H,B,H,H,H,H,B,B,H,C,A,H
74,-,H,-,H,H,H,H,H,H,H,H,H,H,B,H,H,-,H,H,A,A,H,H,H,B,A,A,H,B,H,H,H,H,H,H,H,H,H,H,H,H,A,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,H,-,A,A,A,A,A,A,A,A,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,B,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,A,H,H,-,A,H,B,B,C,H,H
75,B,B,H,H,H,H,A,A,A,A,A,A,A,H,A,A,-,H,H,A,A,H,H,H,H,B,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,H,-,A,A,A,A,A,A,B,H,H,H,B,H,H,H,-,H,H,H,A,A,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,B,B,B,B,B,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,B,B,B,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,A,A,A,A,A,A,A,C,H,H
76,-,H,A,A,H,H,H,H,H,H,H,H,H,B,B,B,-,A,A,A,A,A,A,A,A,H,H,B,H,-,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,B,B,-,A,A,A,A,A,A,A,H,B,B,H,H,H,H,H,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,B,B,B,B,B,B,B,B,B,H,A,A,H,H,H,A,H,H,H,H,A,H,B,C,A,H
77,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,B,B,B,H,A,A,A,A,A,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H,A,B,B,B,B,B,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,H,H,H,H,H,H,A,A,A,H,B,H,H,H,H,H,H,B,H,H,A,A,A,A
